"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HVEGAS001","agoda+tripcom | booking_via_agoda+priceline",2,-810.810839982788,-0.279586847269343,0.212724489052936,1.28868715148608e-11,2.05801931145152,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda | booking_via_agoda+priceline+tripcom",2,-811.202486949449,-0.671233813930598,0.143789565944408,1.41415075598607e-11,2.01266854464341,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda+priceline+tripcom | booking_via_agoda",2,-811.447993479653,-0.916740344134496,0.112487752938996,1.25175058483903e-11,2.07211124139416,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda+priceline | booking_via_agoda+tripcom",2,-812.124111953693,-1.59285881817482,0.0572098381321574,1.32847967558935e-11,2.04527105073862,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda+booking_via_agoda+tripcom | priceline",2,-812.679525881825,-2.14827274630704,0.0328289894841196,1.16807997542305e-11,2.14030307226797,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda+tripcom | booking_via_agoda | priceline",3,-812.799379730828,-2.2681265953097,0.029120957436213,1.4450668765473e-11,2.03887989554085,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda | booking_via_agoda+priceline | tripcom",3,-812.826959724109,-2.29570658859041,0.0283287760190368,1.27243038807244e-11,1.9616001784885,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda+booking_via_agoda+priceline | tripcom",2,-812.919885175859,-2.38863204034101,0.0258149209653271,1.29171122473328e-11,2.06186766997075,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda | booking_via_agoda+tripcom | priceline",3,-813.170104964364,-2.63885182884519,0.020100262370596,1.35725076898884e-11,2.00722181315169,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
"HVEGAS001","agoda | booking_via_agoda | priceline+tripcom",3,-813.223429983176,-2.69217684765795,0.0190564923527569,1.30048723998138e-11,1.97334288628541,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
